lesson_id,course_id,lesson_num,Name,Web URL,topic_tags,Skills,Topic,Tags
az-01,azure-llmops-workshop,1,Lab 01: Introduction to LLMs and Azure AI Services,https://microsoft.github.io/llmops-workshop/labs/lesson_01/lab01.html,"lifecycle,intro",Azure AI Studio navigation; Azure OpenAI model deployment; Open-source LLM deployment (Azure); Prompt Playground experimentation; Content Safety configuration; Prompt Flow creation,Foundations & Lifecycle; Deployment & Serving; Safety & Responsible AI; Orchestration & Workflows,Azure; Azure AI Studio; Azure OpenAI; Llama 2; Prompt Flow; Content Safety; Hands-on; Beginner
az-02,azure-llmops-workshop,2,Lab 02: Building LLM Orchestration Flows,https://microsoft.github.io/llmops-workshop/labs/lesson_02/lab02.html,"orchestration,prompt-management",Prompt Flow orchestration; Classification flow build (Prompt Flow); RAG flow build (Prompt Flow + Azure AI Search); Search index setup (Azure AI Search); Flow runtime & connections (Azure OpenAI),Orchestration & Workflows; Retrieval-Augmented Generation (RAG); Prompting & Prompt Management,Azure; Azure AI Studio; Prompt Flow; Azure AI Search; RAG; Classification; Hands-on
az-03,azure-llmops-workshop,3,Lab 03: Evaluating and Deploying LLMs,https://microsoft.github.io/llmops-workshop/labs/lesson_03/lab03.html,"evaluation,deployment",RAG flow evaluation (Prompt Flow); Groundedness evaluation flow; Evaluation dataset preparation; Managed endpoint deployment; Post-deploy validation,Evaluation & Testing; Deployment & Serving; Retrieval-Augmented Generation (RAG),Azure; Azure AI Studio; Prompt Flow; Evaluation; Groundedness; Managed endpoint; RAG; Hands-on
az-04,azure-llmops-workshop,4,Lab 04: Monitoring and Responsible AI,https://microsoft.github.io/llmops-workshop/labs/lesson_04/lab04.html,"monitoring,observability,content-safety",LLM monitoring enablement; Monitoring metrics preparation; Content Safety tool integration; Conditional safety routing (Prompt Flow); Operational debugging,Monitoring & Observability; Safety & Responsible AI,Azure; Monitoring; Prompt Flow; Content Safety; Responsible AI; Hands-on
az-05,azure-llmops-workshop,5,Lab 05: Automating Everything (CI/CD),https://microsoft.github.io/llmops-workshop/labs/lesson_05/lab05.html,"automation,ci-cd",GitHub Actions CI/CD setup; Automated PR evaluation pipeline; Golden dataset evaluation gate; CI build + CD deploy (Prompt Flow); Release workflow (branching/versioning),CI/CD & Release Automation; Evaluation & Testing; Deployment & Serving,Azure; GitHub Actions; CI/CD; Prompt Flow; LLMOps Accelerator; Golden dataset; Hands-on
az-06,azure-llmops-workshop,6,Extra: Benchmarking Azure OpenAI Models,https://microsoft.github.io/llmops-workshop/labs/performance/docs/AOAI_BENCH_TOOL.html,"performance,evaluation",Model benchmarking; Quality/cost tradeoff analysis; Model selection workflow,Evaluation & Testing; Performance & Load Testing,Azure OpenAI; Benchmarking; Model selection; Evaluation; Performance
az-07,azure-llmops-workshop,7,Extra: Performance Evaluation / Load Testing,https://microsoft.github.io/llmops-workshop/labs/performance/docs/PERFTEST_CONCEPTS.html,"performance,load-testing",Load testing; Latency/throughput measurement; Scaling analysis,Performance & Load Testing; Deployment & Serving,Load testing; Performance; Latency; Throughput; Scaling; Azure
gcp-01,gcp-llmops-overview,1,What is LLMOps (overview),https://cloud.google.com/discover/what-is-llmops,"lifecycle,definition",LLMOps lifecycle mapping; LLMOps best-practice framing,Foundations & Lifecycle,Google Cloud; Conceptual; LLMOps definition; Lifecycle
gcp-02,gcp-llmops-overview,2,Vertex AI Model Registry (lifecycle management),https://docs.cloud.google.com/vertex-ai/docs/model-registry/introduction,"model-registry,versioning",Vertex AI Model Registry usage; Model versioning & lineage; Model lifecycle promotion,Model Registry & Versioning; Foundations & Lifecycle,Google Cloud; Vertex AI; Model Registry; Versioning
gcp-03,gcp-llmops-overview,3,Vertex AI Pipelines (automation),https://docs.cloud.google.com/vertex-ai/docs/pipelines/introduction,"pipelines,automation",Vertex AI Pipelines orchestration; Pipeline automation; Pipeline parameterization,Orchestration & Workflows; CI/CD & Release Automation,Google Cloud; Vertex AI Pipelines; Automation; Pipelines
gcp-04,gcp-llmops-overview,4,Vertex AI Model Evaluation (overview),https://docs.cloud.google.com/vertex-ai/docs/evaluation/introduction,evaluation,Vertex AI model evaluation; Metric selection; Model comparison,Evaluation & Testing,Google Cloud; Vertex AI; Evaluation; Metrics
gcp-05,gcp-llmops-overview,5,Vertex AI Model Monitoring (overview),https://docs.cloud.google.com/vertex-ai/docs/model-monitoring/overview,monitoring,Vertex AI model monitoring; Drift detection; Alerting configuration,Monitoring & Observability,Google Cloud; Vertex AI; Monitoring; Drift; Alerts
awsw-00,aws-llmops-workshop,1,Lab 0: Register base model (notebook),https://github.com/aws-samples/llmops-workshop/blob/main/lab0-register-base-model.ipynb,"model-registry,lifecycle",SageMaker Model Registry registration; Model package governance; Lifecycle state management,Model Registry & Versioning; Foundations & Lifecycle,AWS; Amazon SageMaker; Model Registry; Workshop; Notebook
awsw-01,aws-llmops-workshop,2,Lab 1: Finetune Llama2 with QLoRA (notebook),https://github.com/aws-samples/llmops-workshop/blob/main/lab1-sagemaker-finetune-llama2-qlora.ipynb,"post-training,qlora,peft",SageMaker fine-tuning job; QLoRA fine-tuning; Model deployment (SageMaker Hosting),Fine-tuning & Post-training; Deployment & Serving,AWS; Amazon SageMaker; Llama 2; QLoRA; Fine-tuning; Notebook
awsw-02,aws-llmops-workshop,3,Lab 2: Build SageMaker pipeline for LLM (notebook),https://github.com/aws-samples/llmops-workshop/blob/main/lab2-sagemaker-pipeline-llm.ipynb,"pipelines,automation",SageMaker Pipelines workflow; Training pipeline automation; CI/CD integration (CodePipeline),Orchestration & Workflows; CI/CD & Release Automation; Deployment & Serving,AWS; SageMaker Pipelines; CodePipeline; Automation; Notebook
awsw-03,aws-llmops-workshop,4,Lab 3: Foundation model monitoring (folder),https://github.com/aws-samples/llmops-workshop/tree/main/lab3-sagemaker-fm-monitoring,"monitoring,observability",SageMaker Model Monitor configuration; Monitoring schedule setup; BYOC monitoring,Monitoring & Observability,AWS; SageMaker Model Monitor; LLM Monitoring; BYOC; Observability
awsw-04,aws-llmops-workshop,5,Lab 4: JumpStart embeddings (notebook),https://github.com/aws-samples/llmops-workshop/blob/main/lab4-sagemaker-jumpstart-embeddings.ipynb,"embeddings,retrieval",JumpStart embeddings deployment; Embedding generation; Vector store setup (OpenSearch),Retrieval-Augmented Generation (RAG); Deployment & Serving,AWS; SageMaker JumpStart; Embeddings; OpenSearch Serverless; RAG; Notebook
awsw-05,aws-llmops-workshop,6,Lab 5: Knowledge base chatbot (notebook),https://github.com/aws-samples/llmops-workshop/blob/main/lab5-knowledge-base-chatbot.ipynb,"rag,app-integration",Document ingestion for RAG; LangChain RAG application; Vector DB querying (OpenSearch); Streamlit chatbot UI,Retrieval-Augmented Generation (RAG); Orchestration & Workflows; Deployment & Serving,AWS; OpenSearch Serverless; LangChain; Streamlit; RAG; Chatbot; Notebook
awsb-01,aws-llmops-blog-series,1,LLMOps solution overview (Part I),https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/,"architecture,lifecycle",LLMOps reference architecture review; Service-to-lifecycle mapping,Foundations & Lifecycle; CI/CD & Release Automation; Deployment & Serving,AWS; Reference architecture; Blog; LLMOps solution
awsb-02,aws-llmops-blog-series,2,SageMaker Clarify: Get started with model evaluations,https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-get-started.html,evaluation,Foundation model evaluation (Clarify); Automatic vs human eval workflows; fmeval-based evaluation,Evaluation & Testing; Safety & Responsible AI,AWS; SageMaker Clarify; fmeval; Evaluation; Responsible AI
awsb-03,aws-llmops-blog-series,3,SageMaker Model Monitor (examples index),https://sagemaker-examples.readthedocs.io/en/latest/sagemaker_model_monitor/index.html,monitoring,Model Monitor setup; LLM monitoring (BYOC); Monitoring schedule operations,Monitoring & Observability,AWS; SageMaker Model Monitor; LLM Monitoring; BYOC; Monitoring schedule
awsb-04,aws-llmops-blog-series,4,SageMaker Clarify + fmeval (re:Post article),https://repost.aws/articles/ARXsxgLFa7R-uw8TgUo1fDJg/accelerate-foundation-model-evaluation-with-amazon-sagemaker-clarify-and-fmeval,"evaluation,tooling",Clarify + fmeval evaluation workflow; Evaluation reporting,Evaluation & Testing,AWS; SageMaker Clarify; fmeval; re:Post; Evaluation
db-01,databricks-llmops,1,Databricks LLMOps overview,https://www.databricks.com/glossary/llmops,"definition,lifecycle",LLMOps lifecycle framing (Databricks),Foundations & Lifecycle,Databricks; Glossary; Conceptual
db-02,databricks-llmops,2,Evaluate and monitor AI agents (MLflow for GenAI),https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/,"evaluation,monitoring,agents",Agent evaluation (MLflow); Agent monitoring; Trace logging,Evaluation & Testing; Monitoring & Observability; Orchestration & Workflows,Databricks; MLflow for GenAI; Agents; Evaluation; Monitoring
db-03,databricks-llmops,3,Implement LLMOps with Azure Databricks (lab),https://microsoftlearning.github.io/mslearn-databricks/Instructions/Exercises/AI-07-LLMOps.html,"deployment,tracking,governance",LLMOps implementation (Azure Databricks); Experiment/prompt tracking (MLflow); GenAI app deployment; Governance controls,Deployment & Serving; Model Registry & Versioning; Governance & Compliance,Azure Databricks; Databricks; MLflow; Lab; Governance
